article,label
"Belarus leader, Alexander Lukashenko, met Putin on Monday in Sochi.",1
"US secretary of state, Antony Blinken, said Russia was weaponising food.",1
"Putin: 'If attacks against Russia continue, the response will be harsh' – video",1
Ukrainian media has reported that the Mykolaiv oblast is now free of Russian troops.,1
"Ukraine has announced it has killed another 480 Russian troops, according to its latest casualty figures.",1
Sean Penn has given an Oscar statuette to Ukrainian president Volodymyr Zelenskiy during a meeting in Kyiv.,1
"Ukrainian and Russian forces also clashed overnight over Snihurivka, a town about 30 miles north of Kherson.",1
Russia dismissed reports that its agents hacked Liz Truss’s phone and gained access to sensitive information.,1
"The Ukrainian flag has also been raised in the city of Balakliya, according to the Kharkiv regional governor.",1
The Ukrainian foreign ministry has claimed its forces killed another 600 Russian soldiers in the past 24 hours.,1
Zelenskiy said Ukraine’s military forces have had some successes near Kherson and in parts of the Kharkiv region.,1
"Ukraine has secured the release of 1,456 prisoners of war since Russia invaded in February, according to Zelenskiy.",1
Russia on Friday vetoed a western bid at the UN security council to condemn its annexations of Ukrainian territory.,1
"Ukraine’s military has said the number of Russian soldiers killed since the start of the invasion has reached 51,900.",1
"Charles Michel, the president of the European Council, unequivocally labelled Monday’s actions by Russia as war crimes.",1
Ukraine has withdrawn its ambassador to Kazakhstan after a row over Petro Vrublevsky;s comments about killing Russians.,1
The Kremlin has rejected allegations that Russian forces committed war crimes in Ukraine’s Kharkiv province as a “lie”.,1
"Zelenskiy, has called on Europeans to remain united against Russia’s war and to severely limit the price for Russian oil.",1
Unverified photos posted to social media appeared to show soldiers holding a Ukrainian flag on the outskirts of the city.,1
"Ukrainian forces shot down 13 “kamikaze” drones over Mykolaiv overnight, according to the region’s governor, Vitaliy Kim.",1
"Lithuania’s foreign ministry has declared the top Russian diplomat in the country, Sergey Ryabokon, a “persona non grata”.",1
"Ukrainian authorities have estimated that Russian forces have lost nearly 68,420 personnel since the start of the invasion.",1
"Russia’s governor of Kursk, Roman Starovoyt, said that two settlements that border Ukraine were shelled on Thursday morning.",1
"Aid raid alerts were issued across Ukraine, including Kyiv, on Tuesday afternoon. There were no immediate reports of attacks.",1
"Sviatlana Tsikhanouskaya, leader of the democratic opposition in Belarus, has called on Russian soldiers to leave the country.",1
"The US expects “reduced tempo” in fighting to continue over winter months, the top US intelligence chief Avril Haines has said.",1
